,p.country,m.name,p.party,m.uid,twitter_handle
13652,Australia,Hon Alan Tudge MP,Liberal Party of Australia,185932331,AlanTudgeMP
13653,Australia,Hon Alex Hawke MP,Liberal Party of Australia,18864066,AlexHawkeMP
13654,Australia,Mr Andrew Laming MP,Liberal Party of Australia,49499855,AndrewLamingMP
13655,Australia,Mr Andrew Wallace MP,Liberal Party of Australia,252016955,AndrewWallaceMP
13656,Australia,Hon Angus Taylor MP,Liberal Party of Australia,84750011,AngusTaylorMP
13657,Australia,Mrs Ann Sudmalis MP,Liberal Party of Australia,835797426229256192,
13658,Australia,Mr Bert van Manen MP,Liberal Party of Australia,131986906,BertVanManen
13659,Australia,Mr Russell Broadbent MP,Liberal Party of Australia,2388106568,BroadbentMP
13660,Australia,Mr Chris Crewther MP,Liberal Party of Australia,66919987,ChrisCrewther
13661,Australia,Hon Christian Porter MP,Liberal Party of Australia,1559788717,cporterwa
13662,Australia,Hon Christopher Pyne MP,Liberal Party of Australia,2592733051,cpyne
13663,Australia,Mr Craig Kelly MP,Liberal Party of Australia,211371719,CraigKellyMP
13664,Australia,Hon Dan Tehan MP,Liberal Party of Australia,139052672,DanTehanWannon
13665,Australia,Mr David Coleman MP,Liberal Party of Australia,1924883101,DavidColemanMP
13666,Australia,Hon Greg Hunt MP,Liberal Party of Australia,60483082,GregHuntMP
13667,Australia,Mr Ian Goodenough MP,Liberal Party of Australia,2579671633,IanGoodenoughMP
13668,Australia,Hon Jane Prentice MP,Liberal Party of Australia,259148388,JanePrenticeBne
13669,Australia,Mr Jason Falinski MP,Liberal Party of Australia,759921684543451136,JasonFalinskiMP
13670,Australia,Mr Jason Wood MP,Liberal Party of Australia,74049076,JasonWood_MP
13671,Australia,Dr John McVeigh MP,Liberal Party of Australia,929086908,
13672,Australia,Hon Josh Frydenberg MP,Liberal Party of Australia,63942152,JoshFrydenberg
13673,Australia,Ms Julia Banks MP,Liberal Party of Australia,753170760252784641,
13674,Australia,Mr Julian Leeser MP,Liberal Party of Australia,2594661042,JulianLeeser
13675,Australia,Hon Julie Bishop MP,Liberal Party of Australia,89856037,HonJulieBishop
13676,Australia,Hon Karen Andrews MP,Liberal Party of Australia,47318173,karenandrewsmp
13677,Australia,Hon Kelly O'Dwyer MP,Liberal Party of Australia,41543509,KellyODwyer
13678,Australia,"Hon Ken Wyatt AM, MP",Liberal Party of Australia,196039332,KenWyattMP
13679,Australia,Hon Kevin Andrews MP,Liberal Party of Australia,252331819,kevinandrewsmp
13680,Australia,Hon Craig Laundy MP,Liberal Party of Australia,2200705141,LaundyCraig
13681,Australia,Mrs Lucy Wicks MP,Liberal Party of Australia,2293950596,LucyWicksMP
13682,Australia,Mr Luke Howarth MP,Liberal Party of Australia,4882704458,
13683,Australia,Ms Melissa Price MP,Liberal Party of Australia,753759070750998529,Melissa4Durack
13684,Australia,Hon Michael Keenan MP,Liberal Party of Australia,3476724493,
13685,Australia,Hon Michael Sukkar MP,Liberal Party of Australia,1796057425,MichaelSukkarMP
13686,Australia,Ms Nicolle Flint MP,Liberal Party of Australia,2400738924,NicolleFlint
13687,Australia,Mrs Nola Marino MP,Liberal Party of Australia,569737805,NolaMarinoMP
13689,Australia,Hon Paul Fletcher MP,Liberal Party of Australia,77896983,PaulFletcherMP
13690,Australia,Hon Peter Dutton MP,Liberal Party of Australia,20559705,PeterDutton_MP
13691,Australia,Mr Rowan Ramsey MP,Liberal Party of Australia,1544916589,RowanRamseyMP
13692,Australia,Mr Scott Buchholz MP,Liberal Party of Australia,252833329,ScottBuchholzMP
13693,Australia,Hon Scott Morrison MP,Liberal Party of Australia,34116377,ScottMorrisonMP
13694,Australia,Ms Sarah Henderson MP,Liberal Party of Australia,116975334,SenSHenderson
13695,Australia,Mr Steve Irons MP,Liberal Party of Australia,22147650,
